"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,251562.121944041,2884345.16980205,127518.689336662,5160.70791999576,0.385958552111383,0.439251210587511,0.348456196066656,0.0474675580120504,6749.78719687688,9515.88613945068,5304.23196486428,506.070408323485,0.0488642138898968,0.0324080091830042,0.0574935066527402,0.0120682386243087,0.1848636772897,0.182219517574274,0.186080244005743,0.00262999390379017,0.968406952544225,0.921889675218493,0.98830259880596,-0.073586591572553,0.0363774594946419,0.0361170936021076,0.0366561224871931,0.0142495473620253,0.98624031412416,1.02933316780106,0.962656119571727,1.80663870561121,0.0525281338092954,0.109825639700222,0.0229486090443143,0.875096915960952,2.52567800210964,2.56011377391816,2.50634337472497,3.32657589942414
"2",3,236760.63118041,2454622.05945425,126962.476652989,5022.92177460967,0.178899948110098,0.221444376504306,0.14272758606911,0.0362130019081314,4153.20978253906,7179.85101301138,2703.35799777219,508.98493053992,0.0491551296160538,0.0396274996599184,0.0574935066527402,0.00720936494194958,0.180488841084762,0.174570232738253,0.187408674793595,0.0123610864070593,0.702680992549984,0.464602098225352,0.961295948084334,-0.00260030568090814,0.0441277191969666,0.0559977224468014,0.0367786277554048,0.0207238799970888,1.17904303324818,1.38002536475959,0.98698507667766,2.28515832143207,0.280616984037878,0.51148548727783,0.0538827138533829,1.3489100287714,2.69923054343681,2.88056690441143,2.52803687136184,3.79588902445061
"3",4,231090.522718044,2388773.42554472,122192.472250931,4971.65325293679,0.138050444247686,0.171394883720542,0.10117612161962,0.0194130160980125,2985.07213426681,5085.06186231721,2108.72694144546,405.209364614208,0.0593027507885317,0.0400194979040995,0.0420523354146147,0.00454398968606318,0.196764863180372,0.161501245293459,0.180486818982881,0.010220135513361,0.578294317111481,0.401955064947276,0.774006004654781,0.00729369045376765,0.0455783951490637,0.0610192346001339,0.0426044220734655,0.0202167172176924,1.3004940229034,1.54197451657239,1.13939986331848,2.57625802226297,0.445500486890287,0.67340897989932,0.220678471625596,1.64226351128825,2.80474731376029,2.99881490358197,2.66668662067791,4.02503601580424
"4",5,230274.506449353,2309241.84914458,117690.299168077,4705.78771606498,0.104257358621138,0.116798204195524,0.096848520773935,0.0354755089016098,2262.69685940353,4101.23683647514,1815.57348518649,577.473532905203,0.0593027507885317,0.0408087045355577,0.0464704342988349,0.00454398978455506,0.19643803093136,0.194274871670684,0.178006730761906,0.033390306287428,0.568625067705767,0.318894817266435,0.601458304332453,0.0293518188857825,0.0456293535916257,0.0659136190443723,0.0488590852490149,0.045050848655301,1.32340862299471,1.6317948879522,1.31391051245689,2.66496217678992,0.46848579939621,0.859217779412381,0.416849981418456,1.76302158672438,2.82320634386227,3.05514858510002,2.82554532472751,4.02674268569423
"5",6,220780.004342802,2289902.87938006,116784.345054867,4331.38640348086,0.0737350056428916,0.101445346626915,0.0766508456525154,0.0696556050420789,2044.02976516974,3339.17781835465,1491.80996908848,815.710170032602,0.0609780871139333,0.0416922345143624,0.0491859341061507,0.00660539224235611,0.184742242512332,0.190395128197168,0.17840057925205,0.084393557251076,0.421980116388996,0.305369343181237,0.574691840049806,0.0510645952089192,0.0498819789769295,0.0673418949040085,0.0486294575493566,0.11134602916831,1.54711951583215,1.68632859505625,1.36224120987355,2.51667008430387,0.692586646827218,0.918782943921246,0.468001830963201,1.69101493716694,3.02581037645976,3.10433156561557,2.86596595134447,3.84077562502581
"6",7,220222.230194857,2248693.52855748,114508.30282876,3888.38196896921,0.0608675840354084,0.0975544812991388,0.0711410581203169,0.111698283423794,1715.24079503777,2888.92861936496,1327.94880416047,1101.83889847413,0.0591921627269899,0.0416922345143624,0.0593793051818133,0.0183506970758146,0.184208165824624,0.19931942024808,0.1856947504451,0.114779882215407,0.427772025126275,0.271619719552323,0.502006691439379,0.064685961482565,0.0490543300757549,0.0725759013197482,0.0501345820762181,0.164762649020063,1.57920424805565,1.7724797768996,1.46983943877172,2.48808633339134,0.71928150299413,1.03445028833571,0.594737448990204,1.68849053848655,3.04802140949104,3.18277707851093,2.96649948636287,3.74751396908497
"7",8,218442.546341733,2244778.09587995,113495.911121764,3807.78089501241,0.0434264249494612,0.0872921742021696,0.0653632188885521,0.112505354439206,1503.22828738719,2484.92982316972,1171.46151271327,1019.25871227864,0.0609780871139333,0.0416922345143624,0.0593793051818133,0.0171327410485535,0.180601074409474,0.192922468133094,0.182394656100476,0.116225534589663,0.403908066341075,0.276124336076438,0.479113320036184,0.0573199040169789,0.0506116174206226,0.0693999666422317,0.0514705038963341,0.175660240683126,1.6429128240184,1.80128563718003,1.52288165060631,2.56745358528476,0.784747077731833,1.05459551500483,0.650042342451707,1.79481729406075,3.10410242018388,3.21406701189128,3.00970439804057,3.81695741477487
"8",9,213111.694141063,2225489.69728166,112905.933202892,3734.15683753086,0.0445936229502162,0.0833263870574415,0.0583601911245885,0.114568676319139,1404.90380184466,2212.70095743624,1042.18334637447,954.116889012118,0.0609780871139333,0.0434436253755715,0.0593793051818133,0.0171327422027681,0.166202700445007,0.189643159806445,0.184620817777791,0.114584269887983,0.335680670865077,0.266902183407142,0.459076918048564,0.0517654933321866,0.057896141660991,0.0704887332843141,0.0519337944945435,0.184405172760243,1.7918188830767,1.85981004065562,1.56862246756428,2.62654043292332,0.941652090691642,1.11200853719093,0.700375621360126,1.88436053383034,3.24230214491654,3.26435999416121,3.05213166801591,3.86523847117278
"9",10,200703.64996048,2199800.90811832,112315.623033353,3618.87907283024,0.0622535673551986,0.081661123452884,0.0516951240378879,0.0864664094392529,1450.60366992045,2013.25293926736,941.801441032985,939.308123538284,0.0609780871139333,0.0441535660112456,0.0593793051818133,0.00799483735488619,0.159988022263124,0.19059015732023,0.183195096751653,0.0955975640416209,0.238689582326692,0.251768227222812,0.45823504781935,0.0394585026371368,0.0790061992701827,0.0734233256061574,0.0520658231721588,0.155230317796159,1.93963027657781,1.91696449391589,1.60251504083154,2.79976940075708,1.16901963090723,1.17887535724893,0.732007951527015,2.07673007122646,3.30887079733782,3.31508702477135,3.07398850097557,4.02849877268023
"10",11,199431.926144046,2200977.3631834,111348.463533065,3551.63499418417,0.0553284110345602,0.0727003396512527,0.0445083043782059,0.087862808235445,1325.36850047123,1809.8893227294,870.699662271286,895.695715483067,0.0517538822726921,0.0416922345143624,0.0593793051818133,0.00799483770648352,0.160627823504651,0.19168386776704,0.179477815979356,0.0926326924205522,0.236092612240974,0.25571364571239,0.43756943772054,0.0358429735095514,0.0799926794779175,0.0722784028172706,0.0540350763086496,0.158221001677849,1.95366241655083,1.92443662758183,1.65059003553728,2.87159093820503,1.19136481276015,1.18888168286076,0.787411650291336,2.15645068927255,3.32017903893641,3.32602444861623,3.11590741512847,4.10529555760046
"11",12,199018.412414671,1946750.75434911,107945.861996489,3446.11504868735,0.0518389495964101,0.110451505924154,0.0400213016219048,0.0916491379642112,1210.74513254783,2075.55680530946,868.4524096233,889.67008132112,0.0524109211477665,0.0461419835235006,0.0593793051818133,0.00799483770648352,0.159488506184365,0.222040993143702,0.169173965340439,0.0918976483455516,0.238191358122795,0.161598167265548,0.333509020133109,0.0336217476485271,0.0790079580604434,0.124436877723476,0.0617134271744572,0.164717558885811,1.97581689632399,1.99965811253118,1.86162818133585,2.93018448841371,1.20799501757393,1.34613279555619,0.997783633555099,2.22614824984713,3.34388021861644,3.33465699776925,3.29931880841766,4.14729594482871
