"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,251679.884693366,2885477.38571038,127512.558375192,5064.63872913619,0.364412903168071,0.405380244248044,0.347748962799047,0.05796610767289,6738.13313981654,9505.0277345047,5305.3600099059,860.083037648483,0.0525732812045841,0.0422396839023914,0.0446847765506914,0.0130008254926565,0.179460537346064,0.1764991242435,0.185817174615669,0.0464708668804074,0.864021286992612,0.765416600332302,0.984215031382492,0.0836195529737608,0.0360767638686393,0.0377147857153314,0.0365906746350975,0.0363163446366537,1.07199499555387,1.1297788405025,0.967956460642264,1.79570679763608,0.171629073800317,0.266605046472592,0.0295231196356153,0.853911243420225,2.5879683074468,2.62517917799245,2.51061921348884,3.27617905475696
"2",3,211568.889338143,2285207.44052231,111076.996776615,5060.19743718287,0.183694754037473,0.226987039837914,0.155758886805448,0.0336715204322294,5728.66457717037,8385.13224270673,4388.24803640325,438.362940034314,0.0534493441367949,0.0412092173992725,0.0470868021246842,0.0064489245716009,0.203360248456752,0.200205186329224,0.193478443585849,0.0273926179167722,0.285202710031176,0.270457527298653,0.289431747399049,0.00413252096152395,0.0816863418360236,0.0805614018662009,0.0796868738827376,0.00870974658613217,1.50371087731333,1.54855812234957,1.49604870213988,2.07199395921354,0.654791117723639,0.727113483444369,0.62289006639926,1.17794991396621,2.97181936455533,3.00252943086158,2.97233244108846,3.57572255431649
"3",4,195119.858251249,2078509.79643631,103169.590375544,4785.21774461453,0.162470719891422,0.193340637068623,0.140144400839703,0.0331453654911321,4651.00968770575,6747.46528986999,3613.37771207191,656.773876264795,0.0439359229636554,0.0461796881864149,0.0407576826458235,0.00644892469677674,0.219536122397357,0.232191714681529,0.200774839691873,0.0405056259661138,0.182792477473946,0.167936790995764,0.188650185138308,0.00530134055940377,0.122477495314176,0.125701640021344,0.115971527527676,0.0389667504133535,1.67408509627581,1.71639312394587,1.68720194271127,2.27798855589269,0.971585781925196,1.05138814812046,0.941537391982482,1.40751649075046,3.00953832550304,3.04471822362322,3.02783965162063,3.63549157296358
"4",5,188803.215259064,1940824.26430283,99522.335740708,4668.56644106647,0.134819990335992,0.173658926010395,0.129011335478801,0.0236561679272903,3756.60370316031,5741.27763641118,2975.51988148537,618.261869144422,0.0506508334523772,0.0468904911481902,0.0407576826458235,0.00644892469677674,0.205202564528337,0.220589973553651,0.193518226364158,0.0350174170347177,0.166228094984958,0.155617372995811,0.152152195444235,0.00396210821977848,0.124073264074507,0.131661002125175,0.135562516911054,0.0449617715509825,1.73971129611349,1.74046398654248,1.87998678151662,2.42716486612523,1.08802365593262,1.12702378734897,1.14286128793341,1.55017681035907,3.03097844828183,3.03764132172631,3.12511773948309,3.76878982853302
"5",6,181975.612916845,1843830.43436252,98415.2300676907,4383.23709353777,0.128349884324826,0.147296285850629,0.120678328522588,0.0312950642656802,3254.08506365447,5025.35555721891,2447.90322486733,763.113368718073,0.0547085823493529,0.0458847151217239,0.0407576826458235,0.0064489247292456,0.198940898995456,0.191367203144399,0.192011728418976,0.0586443418994611,0.137265240872839,0.10967065852491,0.144006156655585,0.0103564223553198,0.141893884163291,0.158640540492181,0.140190537809715,0.0750650346191513,1.90988502879094,1.97684969110539,1.94982593399972,2.55767285189485,1.26934893687448,1.37192397014937,1.22617937733906,1.73241275322255,3.11659143843259,3.26788163429041,3.17613350587003,3.86007144304759
"6",7,174800.81300522,1784120.23499825,94814.6871067821,4130.66422314199,0.118768157829107,0.145363067410761,0.110801921055799,0.0252819734513185,2947.06341360141,4428.96392664894,2232.15329147369,859.761465484184,0.0547085823493529,0.0477097514038719,0.0424527033661199,0.0064489245716009,0.197083609004649,0.184740115953647,0.169711457897627,0.0736327475762128,0.0921481367260005,0.0943718752126672,0.0989819747373501,0.00953491010048524,0.197584417256153,0.174661916604502,0.173422656349984,0.0936637472264503,2.03200866038122,2.1059802239622,2.17859842012046,2.62498669732499,1.51922461072753,1.51201959736444,1.46904121279505,1.84764833318255,3.16874450802249,3.35602746858194,3.37459647340162,3.90154326903431
"7",8,170142.172023119,1709219.41580642,93775.6027369153,4039.76579094932,0.118288832317789,0.144063273088999,0.0973485311029176,0.0402357785785225,2666.07555342781,4076.0241955208,1963.0996335779,811.823552710089,0.0563952998037668,0.0477097514038719,0.0424527033661199,0.00667658409677554,0.193218014002621,0.200215939566165,0.155894187205474,0.0858201197203355,0.0779595221781313,0.0772026957864855,0.0940252472323605,0.0386590274667486,0.214121060924589,0.214292820374243,0.167171952295042,0.0855082566331927,2.12552116012184,2.10122244544134,2.23902251958019,2.63412943313103,1.66550036680202,1.67139426168813,1.54268102103642,1.84680256831343,3.24199661776978,3.27564992418695,3.42511853968089,3.90689977929775
"8",9,164802.892919044,1650944.8369792,92437.1703626207,3883.60014721785,0.122863790958008,0.142972391156933,0.0926552684826099,0.0413441569510397,2481.76482126259,3772.28947706463,1775.33765195337,830.098999343525,0.0563952998037668,0.0505417547682738,0.0454074426077415,0.00530749331085253,0.180071188016377,0.216123989707826,0.142669118330378,0.0841524386674235,0.0673707647317939,0.0654130814126954,0.0855012690940084,0.0307036533310376,0.234744843737881,0.248281801411242,0.167107119644629,0.0909473035572036,2.2540106748592,2.08653552616915,2.34114541605921,2.77284066517591,1.79294007891036,1.80616924478042,1.65033078659045,2.03161222492692,3.29779961820204,3.22578821375663,3.52571460244676,4.01921022368492
"9",10,162857.716978218,1611545.04060415,90214.460142378,3725.08628363334,0.120471041267975,0.142968459933793,0.0897915830071113,0.0575480610244222,2256.3246275816,3484.23788372124,1666.55365667637,855.032481857158,0.063428248507929,0.0505417547682738,0.0454074426077415,0.00454398975308163,0.168438778482662,0.209284997019427,0.163539672115782,0.0884058774994158,0.0626655942454192,0.0584701257060419,0.0712470405775927,0.0223158629046643,0.235102827987866,0.259961209715765,0.200040528106345,0.104680030909535,2.33792647054886,2.18268424029368,2.34105490679723,2.77740622792402,1.87456091390045,1.91007287418383,1.79658772716026,2.08924331346658,3.3812194380369,3.30823140492428,3.49218630808528,4.01565844647747
"10",11,160978.691122741,1572148.68866411,88022.5977461025,3455.55258000134,0.117515159033795,0.143606769356812,0.0749714998620569,0.110657719861403,2075.46552581637,3259.69403826997,1582.35333186372,971.061656514629,0.063428248507929,0.0505417547682738,0.0454074426077415,0.00660539186375835,0.164968677631699,0.20914393307618,0.13934325580701,0.119853661978448,0.0599710930039418,0.0541773738158988,0.0675038052773088,0.0572862721669852,0.236277303025757,0.270000876887804,0.140703311763524,0.176057105884121,2.40550378009423,2.20768133900989,2.41829910679,2.6871384436015,1.93895025739877,1.99340781662974,1.87383192715303,1.99384684681453,3.44513046008431,3.30016614001808,3.56943050807805,3.90579314345962
