"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,26593.1165423392,67509.9190469936,21241.9384362416,1041.00412030573,0.682685801393231,0.729932692071813,0.658452010101561,0.524500968267431,27165.5933519592,39382.2415191031,22822.1418272586,22002.399873301,0.463666514025378,0.372057537796636,0.461791588825579,3.30068047190763e-06,0.186839970553017,0.186839970553017,0.186839970553017,0.0945726821427336,0.999653488337597,0.999653488337597,0.999653488337597,0.0545612069705023,0.0367192560753456,0.0367192560753456,0.0367192560753456,0.0735989297177083,0.94344612178174,0.94344612178174,0.94344612178174,1.626004962078,0.00106295638454146,0.00106295638454146,0.00106295638454146,0.871408055794888,2.48970875666891,2.48970875666891,2.48970875666891,2.95078821521545
"2",3,14863.5208978799,37107.9431502713,11853.1455636846,381.749012181443,0.454060263966875,0.449064456117974,0.45731877782766,0.556566132024826,31464.2993275088,43259.2527466799,27639.1929824545,45674.9881214452,0.00421911244963487,0.00873890173315278,0.00538625536605932,1.11125139989191e-06,0.428458268587341,0.399101142508903,0.426760864746563,0.226695157602311,0.29256396163348,0.290220861120218,0.29473923638543,0.0783061693490352,0.163492206295382,0.148052960814927,0.164117164267304,0.120654680766047,0.938708941154996,1.04820785383589,0.929642511110196,1.71514417469514,0.614159026260115,0.616721052138568,0.611787403958438,1.14443125497149,2.30570729250792,2.4712854795004,2.28269165227267,3.01127083175531
"3",4,11006.2695841688,27069.1232658433,7982.2481448451,243.756605408457,0.422446936455169,0.431333842468565,0.442201785534472,0.540188109684855,30446.8107688326,41777.0177367877,30294.8407660453,51111.2229436732,0.00830885510403247,0.0102036458710137,0.00730868805018635,1.11125712446217e-06,0.39739085469934,0.39329901514448,0.37412957861376,0.209389478220862,0.195261579006989,0.188485518582422,0.1758814067753,0.0745830696110663,0.181092263975684,0.186634881956015,0.211651355637142,0.146431709369939,1.24328592540237,1.26187247519379,1.20441478465893,1.85402353275408,0.930784896735953,0.943496069153925,0.968593826047134,1.33126183602955,2.58443120422052,2.60688311202463,2.48323562098133,3.10864203333367
"4",5,8129.77794174276,21115.0073474184,6502.92895053399,182.785169853559,0.397106795201305,0.379520599340573,0.39961199696308,0.553346460697131,32518.7810976882,41445.7099451816,28920.7531133548,52631.3367752275,0.00841005793256872,0.00743100110066611,0.00700484173398934,5.44809885645854e-07,0.335441253490942,0.33082683776193,0.33825144619317,0.196188031568357,0.127193827749974,0.125312445484363,0.127505252549052,0.0708049430789502,0.222898788684352,0.224857933621389,0.221978556543514,0.15191102042337,1.44651243024594,1.46732938102281,1.43800465036304,1.9738758831776,1.21848974852772,1.22514928711602,1.21753107790068,1.4429003155869,2.72315232045047,2.76737382240442,2.70416481513912,3.21414822675226
"5",6,7125.63392094673,18036.0916231985,5793.12511126117,148.127865971711,0.364191759010311,0.36193858468288,0.363851424631226,0.518750531461723,30191.0500808126,39434.315245674,26414.8288343198,52802.9286264093,0.00967668793290546,0.00687439538456089,0.0077706347675626,1.11126338551154e-06,0.321572634199332,0.310035703858045,0.325317959567683,0.162113568969166,0.108071211898464,0.105639860508549,0.108146227480426,0.0445277075408961,0.237105569357495,0.237364330648316,0.237034226200596,0.158860684809065,1.57448640337421,1.59553904654582,1.56481912388736,2.1522661199218,1.37959998676544,1.38951619024262,1.37944745507399,1.63494043449748,2.82207877440275,2.85297654082767,2.80494397643015,3.38459927713501
"6",7,6705.87663667948,16209.1163986363,5236.72341604847,119.619785492961,0.317433194206713,0.349333759712198,0.348229730700504,0.506603581414435,26921.9594236842,36904.8696485958,24671.2697557866,55207.2131928058,0.00471099713681446,0.00688136379062566,0.0075726784610863,1.11127632462749e-06,0.291555494504804,0.292747568695266,0.296797086508508,0.157926529085256,0.0904876405307183,0.0901602960468175,0.0929299418056612,0.046716599479481,0.251083998990275,0.232461599639003,0.249039135014357,0.173688856712965,1.72233338521829,1.7354998258789,1.69989774202918,2.22468162385932,1.53784414402472,1.53714800584652,1.52056119088914,1.73282399532281,2.95789533002371,2.98158509555136,2.9265047528013,3.44055106402314
"7",8,6100.53426935574,15240.4271406059,4929.08756618222,96.357829257562,0.332194575171672,0.332727715789672,0.338002581948444,0.474073317967859,25621.6418045053,33806.297680497,22627.2213992544,59366.9527964523,0.00878071815311658,0.00997841879823898,0.0077706347675626,1.1093941619671e-06,0.279434042148792,0.278447480102628,0.292097190117864,0.154981556177033,0.0809120908180637,0.0770067274572149,0.0864197462692068,0.0248261090343662,0.264659960749963,0.248646546324075,0.257268383995275,0.200454698969816,1.8151626933757,1.8561963219298,1.77572098026426,2.36724630695942,1.65324179881108,1.67643503974087,1.60943633715482,1.91239627965328,3.03680875913862,3.09317156508808,2.99613799152336,3.54752544411816
"8",9,5492.01132883212,14490.8137556664,4492.55221029129,84.7509020030931,0.323956757874299,0.310241395295843,0.331022559657187,0.476918074982255,25152.9966070266,31226.3666089085,21941.8984141672,59367.7376367648,0.00902466611317214,0.00954465555248996,0.00861710187091345,1.2692789702119e-06,0.261891319811849,0.260921855061988,0.277379762616909,0.153420308638583,0.068257499603782,0.0693512891753202,0.0748854512894163,0.0237491437953357,0.257908832363789,0.257653405953513,0.250979178815159,0.201394185137587,1.94785077651464,1.95316197014476,1.89820877409396,2.39954793119488,1.79205513498048,1.78066876448412,1.74126390410782,1.94821000191395,3.16084205849774,3.1861183443939,3.10836621341177,3.57633914739964
"9",10,5164.9276523206,13974.1507305336,4070.23849577912,69.8278624258981,0.326360454847317,0.29850707056498,0.308361937808176,0.483188445037021,23900.5110063289,28855.9867314657,21735.6118372217,64476.6105722656,0.00902466611317214,0.00762220041448642,0.00962024155187313,1.41270859877909e-06,0.255897379167069,0.254885443374191,0.22115977075248,0.157958800109688,0.0646206579819855,0.0657654184131862,0.0591866461639724,0.0333511173784451,0.263070140105802,0.260472630204778,0.253885027707006,0.213427365648453,2.01546330806254,2.02133347237899,2.04672833065659,2.4350979638843,1.86507502505898,1.85020241140361,1.90003622871628,1.99151511699719,3.22185657540272,3.253463347413,3.24514891557053,3.60919255384674
"10",11,4778.75084895953,13231.1623083955,3849.58900879903,63.4052907812071,0.306893457419232,0.302818970516455,0.257577627233127,0.477067251963941,23394.1221941807,27529.1382409299,20786.1823669748,64087.237379638,0.00687459970134587,0.00762220041448642,0.00840873727981422,1.41270859877909e-06,0.210965591006258,0.2513781190245,0.197087192822794,0.15598515916662,0.0531098058921103,0.0628332803129021,0.0556090679731669,0.0329827452680848,0.265324815849816,0.266192458585146,0.190654944892015,0.215087263052647,2.14707388733576,2.0700722053077,2.12332672976755,2.46749771483647,1.99838425290241,1.9171041037093,1.97663462782725,2.02687492257277,3.34227246380846,3.28375111809526,3.32174731468149,3.63996620107352
"11",12,4448.40000579244,12107.392379042,3528.30531968163,53.6113229666562,0.315268237400411,0.289343050326047,0.267700355896937,0.474268833567028,22968.0147835535,27500.9844798368,20766.3134094631,69202.1234197822,0.00915485625524372,0.00778620189998762,0.00855589761517972,1.06137377740654e-06,0.208350532772104,0.205050376891788,0.192185055905801,0.144524929252792,0.0481689371289849,0.0510487268514755,0.0488727980783429,0.0268253356044583,0.278175882787249,0.266606438851501,0.202461121042063,0.216263692398515,2.17963610078379,2.20287434869416,2.17756548949571,2.54669003251975,2.08927818937059,2.05575992176817,2.0823872586648,2.12399609090992,3.35841404870205,3.40604200841036,3.35830553185625,3.70951221737343
"12",13,4286.56208328134,11457.2778408344,3387.19879307859,51.2102679645102,0.305260665991045,0.292099926778855,0.258590377768787,0.458675339916942,21904.789220832,26724.0068421727,19890.6970499973,66476.7594073763,0.00775300292430575,0.00778620189998762,0.00917937670428693,1.04663447572635e-06,0.203897550671404,0.200814272282527,0.187102457637963,0.142845316783034,0.0457880027681097,0.0467382169596906,0.0463754426587003,0.0257786010832989,0.280788224353369,0.277841449849998,0.203054806146862,0.216627793820019,2.23555860646472,2.23827116281443,2.23725322039383,2.58372569549969,2.14764817902901,2.13970400887254,2.14283108508694,2.15900025901669,3.40864307258223,3.41712964522867,3.41258340013487,3.74099711716499
"13",14,4024.46015633356,11377.5444596662,3259.67559301874,46.4719738584942,0.2531336222435,0.283145969722168,0.245541790722803,0.460996937801155,21626.3810006673,24849.6011094666,19132.4913118163,67758.3525188632,0.00912637676405581,0.00778620189998762,0.00917937670428693,1.53548645649225e-06,0.179216031229511,0.199916024598402,0.168056995009033,0.141475935876497,0.0423747755530337,0.0463256078649688,0.0432515402674062,0.025246989356019,0.21019453018826,0.278451296866368,0.193916688485696,0.216834939233946,2.31165275428052,2.25838865770554,2.31106612803638,2.60615302001874,2.22374232684481,2.15787094271485,2.2140452703845,2.18021819061141,3.48473722039802,3.43726816460909,3.47878336217576,3.76208465557269
