"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,26593.1165423392,67509.9190469936,21241.9384362416,740.959796986733,0.682685801393231,0.729932692071813,0.658452010101561,0.632977894097853,27165.5933519592,39382.2415191031,22822.1418272586,38264.5506794361,0.463666514025378,0.372057537796636,0.461791588825579,1.57739022799446e-05,0.186839970553017,0.186839970553017,0.186839970553017,0.102121672201341,0.999653488337597,0.999653488337597,0.999653488337597,0.157504078197184,0.0367192560753456,0.0367192560753456,0.0367192560753456,0.0688024890323266,0.94344612178174,0.94344612178174,0.94344612178174,1.5930108920634,0.00106295638454146,0.00106295638454146,0.00106295638454146,0.797680147486627,2.48970875666891,2.48970875666891,2.48970875666891,2.98988736358745
"2",3,14861.3125883864,37221.2078747088,11855.1867200253,334.66759888457,0.453987506469151,0.44889487217348,0.455956465139617,0.595923149403477,31470.3236906975,43099.9896585469,27632.8712320647,53377.6999213816,0.00686108586326389,0.00633834364442768,0.00709596480014652,2.76561309126731e-06,0.426551538063097,0.400993543685722,0.430964636045864,0.205102697185452,0.292643605824982,0.290079787757731,0.293192203984538,0.0653049229741539,0.162567238883734,0.150300657808772,0.164774128931739,0.120349831147135,0.943605677001274,1.03708421236206,0.926743901704643,1.74879931129599,0.614072076281837,0.616875553641605,0.613473396680999,1.16225781265216,2.31453396375492,2.45284137583618,2.28693769014058,3.03051823689571
"3",4,9799.7165669848,25679.6980269748,7842.58537241957,229.82077925736,0.448462275023934,0.428248642414446,0.450841073697734,0.555889247955554,34940.5476816721,44364.8355990627,30942.1086955587,54577.4547373267,0.00972342168726838,0.0058454395895948,0.00639347200840546,3.22903485315003e-06,0.388631498244364,0.377791533333131,0.393547723495657,0.188144757078811,0.17411373841681,0.173308651808086,0.173552482228531,0.0622519971245893,0.21344581335426,0.21202461571174,0.21287296768957,0.138456128657589,1.21769642559493,1.23219393916503,1.21471016840476,1.90612243640391,0.97201510715395,0.973824453723468,0.973255144826833,1.36074832631286,2.50881867492613,2.52503053505558,2.51020868557898,3.16681334138754
"4",5,8469.51784747494,20621.8958406308,6465.66460623406,168.443458464308,0.387685498607299,0.406010417931567,0.409331348713513,0.544551943984614,31032.2930338401,42545.2860088833,29113.5928605375,57498.9244315013,0.00567785991762364,0.00612972532014582,0.00827179927693847,1.12186322737094e-06,0.328876267536923,0.343693465843362,0.352293480845466,0.164943908580075,0.132494120370581,0.130033565368409,0.131931446399027,0.0388588523942046,0.232615533924981,0.208955719219431,0.209501598456626,0.151830648984457,1.42048241165682,1.44575301255137,1.4084564832117,2.06092596412235,1.20469946158246,1.21062705777365,1.2040874084415,1.54038406244454,2.69783632877902,2.71770135935301,2.66544671780987,3.28982173151268
"5",6,6732.43208927211,17438.8043510968,5426.0039710819,139.413530037051,0.373536155393073,0.364530817478635,0.37258467286569,0.500346054222295,32166.3740923574,40909.3088996262,28447.6898771087,56330.4250343839,0.00798743356375125,0.00619201972617188,0.00850065522261276,1.98218903039855e-06,0.295944666192616,0.288768068118541,0.292169601770695,0.151974777365559,0.0981769397212469,0.097386606959655,0.0983633674131463,0.025656839324595,0.229960622833024,0.227545696231353,0.228917622103474,0.161689151550738,1.62203385474882,1.62821305493725,1.62938744807609,2.2193227626486,1.42352542459037,1.42719288909059,1.42289828445365,1.70788557421946,2.86965787762608,2.88378633293677,2.87901186591952,3.42510425142823
"6",7,6150.39308389363,16348.5981725048,4995.90849440959,104.321446155539,0.365057340585466,0.344859896599573,0.342607663296991,0.51562667221791,29626.7017629259,36564.1960639813,26006.3132839122,63746.7924458657,0.00472739193357883,0.00404990892071783,0.00823711514740404,5.85551304266176e-07,0.289047093550427,0.273863664960461,0.256932615231177,0.140797563678403,0.083173577699947,0.083510297910323,0.0813592999580498,0.0142522970154093,0.250320445303996,0.239883058835671,0.236218583478305,0.172092193352446,1.72120684944373,1.72031185521068,1.77993833538507,2.34430935216425,1.57358320963805,1.57258679710875,1.58426262706814,1.85727581472558,2.93039284016297,2.9343955218082,3.01546686136036,3.53450002461536
"7",8,5633.12994028958,14782.9687946584,4573.06649931694,90.4843666376357,0.336398052060792,0.313914737933597,0.344217826788926,0.501577820796437,27962.7285293393,34932.6724122481,24590.6588717867,63388.8571342453,0.00460938483866988,0.00532808484140058,0.00973469422236837,3.79705348272946e-06,0.262418194403845,0.23869665687556,0.254549415135265,0.135868792947949,0.071261420806344,0.0694295011776408,0.0717573132050034,0.0172960839951369,0.251836845455746,0.239407769888227,0.251054253546059,0.187086839901152,1.87147028360257,1.89064567707332,1.84870922037996,2.42753523850834,1.71046503317847,1.72229174227355,1.70586386906747,1.95999308970828,3.0806440031079,3.11659308256915,3.04043468363513,3.60417756677379
"8",9,5279.02821398488,13852.0959320227,4204.05758552446,78.0140560253683,0.316698260699928,0.313204174545122,0.324522735049914,0.492487694923487,26259.3307219769,32770.8208263875,23603.3033277575,64690.3108366738,0.00576363709106833,0.00639321880694802,0.00958401721096684,9.63260589046183e-07,0.228032524825127,0.234232663795279,0.239044607942472,0.124720573315468,0.0617634412384233,0.0646725156427969,0.0622702734357469,0.0160625728716817,0.251594568303073,0.242854703392181,0.255529930686756,0.184887063911356,1.98268679843693,1.93777900587024,1.96133945608436,2.5199229190731,1.83396159351877,1.81139795717757,1.83030409290064,2.04230695347417,3.18241372893382,3.13377891616053,3.14129972491378,3.69401939554866
"9",10,4882.39065055033,12954.4455459942,4006.55352738506,62.8542015558748,0.325155312659872,0.30120681467617,0.308496573456932,0.499849051078281,25400.2947813634,31286.1093730112,22113.1572810452,71854.0138209144,0.00576363709106833,0.00667002591250852,0.00724820490017049,5.16056020778815e-07,0.223086948911735,0.222123438631463,0.225810085780405,0.127163752752443,0.055888470541407,0.0573716467110015,0.0561116381629636,0.0100759846130393,0.262090871934269,0.254362991469612,0.259372275663575,0.202157429601003,2.03409068521382,2.04136654537523,2.05636982756163,2.57917390498456,1.93198714925134,1.91938750132858,1.93135255696324,2.15140165737328,3.2119644715191,3.23332210370625,3.22646990551219,3.72976500354861
"10",11,4624.77491754477,12540.2458860175,3741.62503501947,50.4332976723986,0.31809409006166,0.28808771270703,0.314913733143894,0.505678866787097,24233.4208290366,29145.8696042686,21438.3299886158,81037.9587125596,0.00915485625524372,0.00764366168002484,0.00444224488883584,5.95937189216852e-08,0.214944403431795,0.211193900788392,0.219917011395425,0.13029780925216,0.0520904380960811,0.0511790375842851,0.0518746719822268,0.0143557594215828,0.268872941556659,0.257881930575139,0.265945464224431,0.210378787873224,2.10163585096196,2.13232567450156,2.11407546651234,2.62890995825443,2.00955276977751,2.02146509650356,2.01546568993786,2.20994572200605,3.27432043259818,3.30954394969364,3.28310830222565,3.77071445690757
