"","cluster","noise","qualified","avgsize","minpts","eps","ss","sil","ch","dunn"
"1",6,1779,36,6,5,0.125,4.91511209373592e-08,0.774496964313182,1942.01810693507,0.0224240697769604
"2",7,1646,169,24.1428571428571,5,0.25,0.000185328181573941,0.438908979139436,1842044.83538988,0.000142712947325733
"3",31,1449,366,11.8064516129032,5,0.375,0.000718870449507572,0.894802606086949,807192.572167369,0.000918920636882751
"4",50,1159,656,13.12,5,0.5,0.0032084235787283,0.518664267136896,298498.403869041,0.000835417459438533
"5",39,905,910,23.3333333333333,5,0.625,0.243762425170095,0.152274993693,8897.50820970582,0.000173665604042348
"6",40,681,1134,28.35,5,0.75,4.79405206864602,-0.115065096097491,681.007519102449,0.00012663078682004
"7",35,542,1273,36.3714285714286,5,0.875,14.6347206019421,-0.234427830034451,305.405561770934,5.91605079513559e-06
"8",0,1815,0,NA,10,0.125,NA,NA,NA,NA
"9",2,1722,93,46.5,10,0.25,4.46082559740069e-05,0.276868618768524,19.0303094280898,0.000369363744731526
"10",2,1650,165,82.5,10,0.375,0.000377797735131975,0.996942386764122,3441252.41169409,0.00310187917439313
"11",4,1601,214,53.5,10,0.5,0.000746847569779133,0.967040040324499,1489920.67387162,0.000523422228002687
"12",12,1489,326,27.1666666666667,10,0.625,0.00125014993534512,0.875633913730385,919875.879483398,0.00176179649565226
"13",18,1201,614,34.1111111111111,10,0.75,0.0202024347224226,0.572040276903588,128925.35922734,0.000125499389052597
"14",8,1028,787,98.375,10,0.875,0.536643182834729,0.247251531293877,18295.244652487,0.000290622412305732
"15",0,1815,0,NA,15,0.125,NA,NA,NA,NA
"16",2,1773,42,21,15,0.25,1.90996833925477e-06,0.589576435204513,105.267895926801,0.00432211076176639
"17",1,1677,138,138,15,0.375,0.000238277305795497,0.997295328928687,NA,0.00252408857433568
"18",1,1648,167,167,15,0.5,0.000617540101541811,0.996175349964871,NA,0.0026725057568954
"19",2,1625,190,95,15,0.625,0.000852031049131711,0.995807812616084,835572.95016751,0.00279379373509674
"20",3,1570,245,81.6666666666667,15,0.75,0.00255275630068266,0.990872219175984,954412.897694477,0.0013089777729444
"21",10,1366,449,44.9,15,0.875,0.00970773473717824,0.707797052440243,299105.936805263,0.000643923690282805
"22",0,1815,0,NA,20,0.125,NA,NA,NA,NA
"23",0,1815,0,NA,20,0.25,NA,NA,NA,NA
"24",1,1713,102,102,20,0.375,8.73170252679366e-05,0.998093570750061,NA,0.00106674000091285
"25",1,1662,153,153,20,0.5,0.000414119717867701,0.996709414372083,NA,0.00131128576479024
"26",1,1642,173,173,20,0.625,0.000814244569356831,0.995791607982623,NA,0.0036706803032666
"27",1,1637,178,178,20,0.75,0.00102500331382712,0.995419045187283,NA,0.000922857756624841
"28",3,1582,233,77.6666666666667,20,0.875,0.00202697264827845,0.912237460806129,625940.270092783,0.00265320722094624
"29",0,1815,0,NA,25,0.125,NA,NA,NA,NA
"30",0,1815,0,NA,25,0.25,NA,NA,NA,NA
"31",1,1717,98,98,25,0.375,7.13409689406108e-05,0.998224164130172,NA,0.00113372531755704
"32",1,1674,141,141,25,0.5,0.000295030258319537,0.99708610691745,NA,0.000110734445903463
"33",1,1649,166,166,25,0.625,0.000666097064757743,0.996083200337045,NA,0.00215673928281758
"34",1,1639,176,176,25,0.75,0.000889128848445778,0.995642439777174,NA,0.00985080326279359
"35",1,1631,184,184,25,0.875,0.0018035891890232,0.994465617614438,NA,0.00291798840481661
