"","k","fsil.euclidean","fsil.manhattan","fsil.minkowski","fsil.correlation"
"1",2,0.296594271987691,0.388853172845186,0.214317177121545,0.0870007016794944
"2",3,0.285222817804399,0.3426943465089,0.0145276438890585,0.172585036496633
"3",4,0.284313145306258,0.336569408873422,0.0506499138342396,0.218672172528168
"4",5,0.302390446618297,0.356257485647689,0.345111965770808,0.25794190499132
"5",6,0.32454861497163,0.376022697890313,0.377587789700727,0.295480406781141
"6",7,0.31854661312271,0.378984171946266,0.393271557312437,0.315106235995944
"7",8,0.155334035088168,0.16842961186304,0.400051363049691,0.310894936956768
"8",9,0.345822657333517,0.419988046013911,0.404296608779959,0.328649439460357
"9",10,0.164977586890564,0.411424369303863,0.406824380781185,0.332289407003666
"10",11,0.183512121212916,0.397184035749903,0.409013775891453,0.177616173951493
"11",12,0.190182410338401,0.43341498106877,0.410035912326472,0.358589713302552
"12",13,0.354679728869355,0.422608097654663,0.208937738920783,0.362548966441336
"13",14,0.188199955222536,0.140084773496432,0.206496075862159,0.154651393060482
"14",15,0.352671020400228,0.197479342410701,0.21088567174775,0.202420748008257
"15",16,0.118061329871551,0.140878691642275,0.212557460826394,0.171054332267224
"16",17,0.118257727799954,0.145923524268308,0.412129027186611,0.169570188229034
"17",18,0.203019282492705,0.136235865233614,0.216317995098029,0.173007339405518
"18",19,0.136900307237934,0.19403244449016,0.412445768347583,0.370557156148448
"19",20,0.195999650633144,0.464048594316165,0.218515990584599,0.182214600308581
"20",21,0.124413842237236,0.215220804336531,0.219231509843703,0.221391890848993
"21",22,0.128575326821755,0.122766811037168,0.412602055039173,0.175385777667657
"22",23,0.199314662177913,0.218118488808028,0.220697008773333,0.225330457499132
"23",24,0.19822157814442,0.139999244431328,0.221359667881077,0.184246474523838
"24",25,0.203803827447877,0.154971540675868,0.123590198326397,0.193122157867165
"25",26,0.125118175922353,0.151185090362764,0.222194671863357,0.179432270246095
"26",27,0.106350018494562,0.13582334974719,0.22220604092525,0.235877766333478
"27",28,0.154253068355326,0.147474419777061,0.22256808422901,0.188460628391713
"28",29,0.238001370748928,0.217683355772225,0.212306406910358,0.2366624318631
"29",30,0.113300883058193,0.120060739601419,0.067581401622741,0.196504880463081
"30",31,0.205916834668292,0.13992270098457,0.0816453742365573,0.199229574038014
"31",32,0.114566155960965,0.130631658464369,0.0663734151432534,0.198139384983661
"32",33,0.129793888488904,0.149842860732129,0.19258979601086,0.210487498390481
"33",34,0.11655079527666,0.143155130096378,0.0951582247950156,0.197880903441113
"34",35,0.145128659487376,0.141093747862146,0.222562791388458,0.196219286086568
"35",36,0.133623616671956,0.143586273496017,0.217782603873047,0.20178948391408
"36",37,0.144885441678382,0.139400489837151,0.215998488864754,0.205364275760478
"37",38,0.12822915022767,0.148888471831371,0.214194160635066,0.200002252959199
"38",39,0.132454369504175,0.137385721239548,0.111561001892082,0.204460993545549
"39",40,0.0971379086414381,0.148672931687175,0.0876182379155682,0.205673194093975
