"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,26593.1165423392,67509.9190469936,21241.9384362416,1224.54536510859,0.682685801393231,0.729932692071813,0.658452010101561,0.46881275232829,27165.5933519592,39382.2415191031,22822.1418272586,15983.0996061951,0.463666514025378,0.372057537796636,0.461791588825579,4.93072528198578e-07,0.186839970553017,0.186839970553017,0.186839970553017,0.113576711830877,0.999653488337597,0.999653488337597,0.999653488337597,0.0192878213320552,0.0367192560753456,0.0367192560753456,0.0367192560753456,0.0706867235597245,0.94344612178174,0.94344612178174,0.94344612178174,1.62292481111946,0.00106295638454146,0.00106295638454146,0.00106295638454146,0.898725120175909,2.48970875666891,2.48970875666891,2.48970875666891,2.95198387879276
"2",3,22784.3583167369,55728.723972007,11954.8074998735,828.026928387819,0.289242605679404,0.303954661576504,0.460049234583088,0.350798195549939,17370.0265331797,25771.6728642258,27326.9553383056,16165.0185695052,0.00864782798523337,0.00852898890870431,0.00458727227906781,4.22003765735258e-06,0.168235270950984,0.171313861581132,0.414418675742489,0.0793800579544001,0.623767570970271,0.572248054064197,0.306237518005729,0.0151538206734133,0.0511956978957937,0.053493886257645,0.159714456670659,0.0810961276787932,1.22155159095086,1.26088122471327,0.924889445957064,1.86158751080074,0.308960167760645,0.350949182785409,0.599359812001771,1.14990641427843,2.73749904224853,2.77512574286148,2.25843884162135,3.14922447099574
"3",4,11704.6732130377,55803.3615542589,10201.4484702958,527.775950781898,0.42255789652645,0.269887734067032,0.410285716631466,0.274136037306003,28268.9909677,17149.0961135715,22388.102682867,20349.3694285019,0.00969692634263512,0.00430348838025317,0.00757881619040474,2.96461383255661e-06,0.408201352633167,0.17062599207979,0.400922330910839,0.0869519801522145,0.233413316811077,0.579215315677566,0.259012606854285,0.0187746394487025,0.185328493762067,0.0532234606761429,0.170177874715305,0.109430295560511,1.12240050455416,1.26424292721448,1.0965519051761,2.04502084045536,0.830189172280143,0.357113076380479,0.778397292202607,1.35251284475203,2.43876766723316,2.7768090406217,2.42097054056558,3.31903505077816
"4",5,11474.5546681629,29937.7178403878,9931.96844420189,350.170315770144,0.386868156120682,0.396312592057139,0.281767257705687,0.448554829432836,21716.7643794392,27894.0633648621,17368.8537090324,25303.545013089,0.00672701102860241,0.00358831147579707,0.0076138603319548,2.36032706270612e-06,0.407486030302963,0.399608811649261,0.378253944163365,0.238165080295337,0.231579961681216,0.233451584624384,0.236733737812713,0.0825023750659246,0.186074675908446,0.182183928686003,0.174083227637011,0.134342137167288,1.1361450126289,1.14895419462922,1.18503549260945,1.90347784641287,0.851647630055661,0.841449443267994,0.876580120406959,1.37512703188569,2.44785865151137,2.47765109598386,2.50482280377493,3.17311526854239
"5",6,8659.15549155581,22563.6339337564,6759.62404711611,320.137103203488,0.374287276852422,0.370613121859098,0.359516931617709,0.385740334919279,24201.2939200534,30793.0553117552,22118.8983516084,22481.2691992724,0.00718230313005494,0.00527836714742855,0.00957965746373758,2.36036452898291e-06,0.358569259504023,0.347958226298535,0.347852269945838,0.236863198806875,0.15338543698915,0.150312052922894,0.14724298959781,0.0854452308119787,0.224833331657126,0.223802997210224,0.221886995652384,0.138036592074506,1.34898284927907,1.37358243472378,1.39858140932327,1.97805600115019,1.1297957746187,1.13605562326102,1.17129183101193,1.45416798054905,2.6228491955247,2.65475768300669,2.67706198653869,3.246037862419
"6",7,7168.13658033933,19090.7450248243,6759.05493959747,219.889533636527,0.36883681746419,0.35919739687554,0.357174127908593,0.39687905839969,24990.7135960596,30877.6551102105,18433.2065421292,28653.1399844549,0.00810132421716391,0.00959085917525944,0.00957965746373758,2.36036452898291e-06,0.326611998036026,0.32238386974364,0.348064254287904,0.223036166639058,0.115736647197993,0.122660569570084,0.147324220932734,0.0738276206035485,0.221454364741141,0.223460476298903,0.221839430866135,0.147773588851967,1.53704534706845,1.52067126918539,1.398399493326,2.0878227283058,1.33618577968123,1.30173565165129,1.17122434474448,1.57557909104372,2.78356694802601,2.78157556334863,2.67642220344684,3.34521302544425
"7",8,6558.34259731499,18064.1922882858,5761.94436389924,179.598257132964,0.33697329327559,0.316723297634337,0.339320704910816,0.384941993215365,23652.1048678747,28116.4186895128,18981.7795994514,30649.675333687,0.00892446007669277,0.0097479550745468,0.00965348818410109,2.79941143265772e-06,0.324229719641584,0.300282865231901,0.320733367779583,0.210970132148326,0.0999937674588684,0.108881369276154,0.116348376109821,0.0621228629826441,0.241267601493655,0.23104725215371,0.213995335818237,0.154188136279292,1.61432530910422,1.62784989116889,1.57695100753768,2.18475824293074,1.48037839824846,1.4242819371894,1.36705291574646,1.68265064839423,2.83072557859402,2.88443286938796,2.83293611351322,3.42311907874955
"8",9,6141.80572442138,17939.1677722555,5698.96192228555,94.806564638323,0.332886274524133,0.293979521560299,0.319221790876972,0.494536244952481,22251.8144365024,24787.7725023811,16816.7612788736,52830.2607430467,0.00834253527397365,0.0097479550745468,0.00690578030902895,6.59848393000087e-07,0.313183662265322,0.29902464459945,0.319062006776952,0.169370795629412,0.0917399760434903,0.10770799011482,0.114655673363681,0.0447319468105389,0.243900822511028,0.232129846624395,0.215202271639695,0.164527926656693,1.7120368601649,1.65220779427181,1.60589259554017,2.28196505456176,1.57679291288342,1.44892395763366,1.39720711686847,1.78839974118638,2.92641923024229,2.90487046753645,2.85700285464253,3.49210000116115
"9",10,6103.89064573322,17804.8686110171,5535.03455043656,75.3582180276486,0.322708702015522,0.292285582000097,0.305722926343343,0.49534737712474,19913.682307746,22213.7585668783,15449.8188996222,59596.8394816301,0.00834253527397365,0.0097479550745468,0.00740922115484161,7.25379912110828e-07,0.312526464648891,0.298169930986873,0.317417754976218,0.154236782463891,0.0911928276530856,0.107008318871525,0.113325587017458,0.0384544858977629,0.244502311550109,0.23286245312515,0.216244598501387,0.169043233274983,1.7284183060703,1.6604107158588,1.62833182403938,2.38602747394932,1.59322926763431,1.45884218249438,1.4237511494891,1.88577093544729,2.93919674534041,2.91088918745669,2.8733548213425,3.57148461677749
"10",11,5939.23069051852,16096.0361101816,5110.46599828739,68.1165848626423,0.266398375171527,0.307626759108982,0.290957822629079,0.482180555948556,18468.4933445591,22306.319446774,15209.9670833,59529.1128158875,0.00834253527397365,0.00834466824418666,0.00740922115484161,7.1679855060227e-07,0.302669175557727,0.273752492882038,0.316910013662982,0.151730595818051,0.0894274996214349,0.0900335551289302,0.0983410706609711,0.0334347166515303,0.222494406377913,0.247653059188273,0.236686834862123,0.171156268516477,1.77094577341999,1.78653630255444,1.69193960580697,2.43064530349133,1.63575673498401,1.59270634031124,1.56064231052046,1.94384052201939,2.9817242126901,3.037617649516,2.90379633116626,3.60693879292785
