"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,26593.1165423392,67509.9190469936,21241.9384362416,944.280570423104,0.682685801393231,0.729932692071813,0.658452010101561,0.557010942972878,27165.5933519592,39382.2415191031,22822.1418272586,26115.9650980529,0.463666514025378,0.372057537796636,0.461791588825579,6.36809094203486e-06,0.186839970553017,0.186839970553017,0.186839970553017,0.144843554805293,0.999653488337597,0.999653488337597,0.999653488337597,0.13624524960506,0.0367192560753456,0.0367192560753456,0.0367192560753456,0.0618119202383601,0.94344612178174,0.94344612178174,0.94344612178174,1.59176296016923,0.00106295638454146,0.00106295638454146,0.00106295638454146,0.814482413981239,2.48970875666891,2.48970875666891,2.48970875666891,3.06528382376992
"2",3,15122.3714976608,39850.8580394154,11913.8417250907,367.010260336893,0.4379605211821,0.416671427359194,0.451005268312955,0.575478444676664,30770.3341978301,39656.9054729079,27452.1338689405,47873.8114021045,0.0078449851386483,0.00509106358541547,0.0063045032479352,9.39558059030894e-08,0.400657668908731,0.299248285641136,0.428632492078591,0.190575026880286,0.298084558856248,0.310703011973175,0.290837276658685,0.106814359147488,0.143275256743535,0.103593152890029,0.161435557422965,0.122853035762195,1.04134255128087,1.25526351085164,0.952614365389725,1.72855255164914,0.608152978806679,0.594581741267981,0.616046292552574,1.10470884470676,2.46645271283547,2.72088621287052,2.33867198569704,3.00775101321784
"3",4,9844.73899549623,30723.5381681208,8246.7256937337,316.966949854438,0.449521261484945,0.347851233317441,0.444727995430893,0.530067383769867,34753.0801377517,36088.0291807212,29129.1859894145,37908.2223159345,0.00639316289985868,0.00797566914375962,0.00633930987692993,9.39572312137323e-08,0.393262544417128,0.339804924727238,0.39101043625453,0.187205955199749,0.176523293286841,0.175835630354415,0.194352777798703,0.102766124617061,0.210208021994529,0.15899771659228,0.201550659315338,0.130380792641452,1.22263894163639,1.43561571740309,1.19972647944244,1.80133041056526,0.966608223882351,0.968355982825307,0.925750280143832,1.20166378893621,2.52888478031471,2.8641782477634,2.50507264866337,3.06831338156976
"4",5,8146.20251296548,20913.3727046188,6889.314574221,229.562195049055,0.414180777627028,0.39592745939779,0.40041891976222,0.527340777100966,32444.0653081236,41889.0630990548,27044.1985964975,40982.0541279444,0.00682144762454564,0.009584498908279,0.00812302703973968,1.69894630587416e-07,0.364655117349195,0.341742225340086,0.358593170471825,0.162038552620987,0.137977361395234,0.130108015241013,0.148995074938832,0.0841322761104656,0.205600486212482,0.214808396769181,0.197447825750979,0.138159965847096,1.41718972825911,1.44722169925463,1.42179322016797,1.96957919057524,1.18565294083599,1.21141703582077,1.16061661684815,1.37417582680801,2.68766191070897,2.7225574628624,2.69994258004718,3.22980348387154
"5",6,6932.6825737274,19165.0953716803,5504.32379729488,187.173850129304,0.358149522386312,0.368755462596908,0.376592606220272,0.486438752339592,31132.3787625851,36897.3880977788,27991.254866941,41030.4365652499,0.00508265990393295,0.00838216260886013,0.00869842044869927,6.05197587972178e-07,0.288063025681619,0.328719236190926,0.310354602608747,0.151094673206254,0.0988424888718153,0.119377167828095,0.102236998893828,0.0464048660500974,0.221973964963973,0.220698378713469,0.233005532430583,0.142226701350351,1.63966317254842,1.55736756962437,1.6102440671325,2.17435714601167,1.42023146632449,1.32202252635446,1.40519003325104,1.59518806081633,2.88779209018103,2.82801594843653,2.86080473544467,3.40934804422915
"6",7,6400.95542387394,16963.7623480903,5221.9585172901,127.080387317406,0.343940793385571,0.326879200041151,0.351376579522052,0.523517327785828,28348.5534589518,35128.544012639,24749.5808988582,51788.5122270155,0.0057548196264325,0.00926091710249635,0.00444191424941437,2.5596854718171e-06,0.272379188707142,0.271101123788979,0.291992249090908,0.182711192145125,0.0895550886319741,0.0982531332213288,0.0938787022087895,0.0503579432768918,0.230316770888892,0.21944185433734,0.23805995336294,0.158283744076482,1.74495791188359,1.69640036387584,1.69531694516313,2.17871795476008,1.52653943059174,1.4820447074035,1.50017270117694,1.6824646631944,2.99072570817899,2.9501441955735,2.94294550396795,3.39134670333809
"7",8,5811.82508342744,15883.7078345529,4852.88901812713,105.678021689436,0.348499595619986,0.309262929129812,0.329538718191046,0.485272769712632,27023.2370262654,32332.147833686,23023.221440688,53902.4420694269,0.00661479799646181,0.00687453379986125,0.00878107578772808,1.81429324330581e-06,0.270387243473647,0.263273739246432,0.279383349138169,0.184091055748069,0.077971016586956,0.0887192008864768,0.0841567880823477,0.0448830484140085,0.251072760694463,0.225782711166127,0.242515755283274,0.1728502679736,1.78737528419024,1.79389730155127,1.80494799497632,2.2468218117704,1.65929866510773,1.59635155782899,1.61991109871296,1.77330501553822,2.99611485590433,3.03523314326491,3.03965164603807,3.44800678435274
"8",9,5472.27984923132,15840.0097408533,4712.21559248764,97.1751017714567,0.328178754195777,0.304461480813573,0.318425276579675,0.476884139376053,25251.8716003936,28373.3710873495,20813.3013006775,51487.2824434123,0.00661479799646181,0.00687453379986125,0.007221576780386,1.81429324330581e-06,0.257771004056397,0.263047609503758,0.274760358861527,0.182311363184042,0.0693464768486051,0.0885263459616843,0.0816634417682373,0.0443635962545074,0.254599508109526,0.225956103633841,0.245594950885983,0.173605594137185,1.8877613359237,1.79643007507713,1.8543658249733,2.27204953341858,1.76726876293661,1.59980001696594,1.66955935365931,1.80100871151264,3.08880789307785,3.03721508303845,3.08501910899288,3.47058916943897
"9",10,5210.6158825397,14615.5859518236,4346.18748715402,84.740296793165,0.318646448180471,0.298133744577914,0.304539495184659,0.448700239728724,23673.2624563732,27501.081354498,20227.5345500873,52775.2711472556,0.00726708997121134,0.00687453379986125,0.007221576780386,1.84053531067781e-06,0.253262224593169,0.254766538530056,0.233911066760742,0.175718117598319,0.0668635603802366,0.0782449173103295,0.0707850867315089,0.0327592205847981,0.257756879068946,0.223932630730001,0.239189954279515,0.181613372074934,1.93718494373906,1.89364039472461,1.97192451864742,2.38270585111559,1.82039172305852,1.72247309863506,1.7900051047615,1.92155439112076,3.13119711813964,3.11903386857612,3.18863104092876,3.56592034328652
"10",11,5007.62505834097,13229.4856464594,4154.6536341715,70.4878718933554,0.308910139712968,0.292671788106907,0.252248218929599,0.473309312523163,22241.944850763,27532.8571961197,19126.6552857947,57465.4383004533,0.00902718550239267,0.00703235191752836,0.00819075673489831,1.84053531067781e-06,0.240913373374414,0.232102084109996,0.216194195404283,0.175011888687408,0.0617284938383576,0.0622425754941236,0.0679780968027185,0.0331253088613166,0.263784646184375,0.245269576329715,0.195803269738458,0.189980079518477,2.01546622057483,2.02347287575439,2.03454176444207,2.43758329386908,1.90266411104548,1.87651048321086,1.85262235055615,1.99067414536464,3.20439981997301,3.23489178779979,3.2512482867234,3.6084180993956
